query_length,avg_word_length,lexical_diversity,noun_ratio,verb_ratio,adjective_ratio,entity_count,idf_mean,idf_max,rare_term_ratio,embedding_norm,embedding_mean,embedding_std,query_entropy,bm25_weight,dense_weight
1,5.0,1.0,0.0,1.0,0.0,0,1.916,1.916,0.0,1.0,0.000593,0.051028,0.0,0.5,0.5
3,6.333,1.0,0.667,0.0,0.333,0,4.142,5.472,0.333,1.0,0.001238,0.051016,1.585,0.5,0.5
2,5.5,1.0,1.0,0.0,0.0,0,4.373,5.472,0.5,1.0,0.001502,0.051009,1.0,0.5,0.5
3,7.333,1.0,0.667,0.333,0.0,0,3.374,3.68,0.333,1.0,0.001052,0.05102,1.585,0.5,0.5
3,9.333,1.0,0.333,0.333,0.333,0,3.374,3.68,0.333,1.0,0.000614,0.051027,1.585,1.0,0.0
3,6.333,1.0,0.667,0.0,0.333,0,3.937,4.555,0.667,1.0,0.000827,0.051024,1.585,0.5,0.5
3,7.0,1.0,0.333,0.667,0.0,0,4.032,5.066,0.667,1.0,0.000412,0.051029,1.585,0.5,0.5
3,8.333,1.0,1.0,0.0,0.0,0,4.277,5.066,0.333,1.0,0.000479,0.051029,1.585,0.5,0.5
2,5.5,1.0,1.0,0.0,0.0,0,3.883,4.085,0.5,1.0,0.00071,0.051026,1.0,0.5,0.5
3,5.667,1.0,0.667,0.333,0.0,0,4.277,5.066,0.333,1.0,0.000492,0.051029,1.585,0.5,0.5
2,7.0,1.0,1.0,0.0,0.0,0,4.32,4.555,0.5,1.0,0.000719,0.051026,1.0,0.5,0.5
3,9.667,1.0,0.667,0.333,0.0,0,3.75,5.472,0.333,1.0,0.000275,0.05103,1.585,0.5,0.5
3,6.667,1.0,0.333,0.0,0.667,0,3.545,3.68,0.667,1.0,0.00021,0.051031,1.585,0.5,0.5
2,9.0,1.0,1.0,0.0,0.0,0,3.459,4.085,0.5,1.0,-0.000141,0.051031,1.0,0.5,0.5
1,11.0,1.0,0.0,0.0,1.0,0,3.68,3.68,0.0,1.0,0.000256,0.05103,0.0,0.0,1.0
2,8.0,1.0,0.5,0.0,0.5,0,3.477,3.68,0.5,1.0,-7e-05,0.051031,1.0,0.5,0.5
3,7.0,1.0,0.333,0.333,0.333,0,3.614,5.066,0.333,1.0,-0.00022,0.051031,1.585,0.5,0.5
3,8.333,1.0,0.333,0.0,0.667,0,3.98,5.066,0.667,1.0,-0.000452,0.051029,1.585,0.5,0.5
2,8.0,1.0,0.0,0.5,0.5,1,3.784,5.066,0.5,1.0,0.000115,0.051031,1.0,0.5,0.5
3,8.0,1.0,0.0,0.667,0.333,0,4.151,5.472,0.667,1.0,7.5e-05,0.051031,1.585,0.5,0.5
3,8.333,1.0,0.333,0.333,0.333,0,4.238,5.066,0.667,1.0,-0.000338,0.05103,1.585,0.5,0.5
