query,bm25_top_score,bm25_mean_score,bm25_score_std,bm25_score_gap,bm25_top_mean_ratio,dense_top_similarity,dense_mean_similarity,dense_similarity_std,dense_similarity_gap,dense_top_mean_ratio,overlap_ratio,rank_agreement,query_token_count,query_unique_token_count,query_avg_token_length,bm25_top_lexical_coverage,dense_top_lexical_coverage,oracle_bm25_weight
burndown line plotted,10.90939342255594,5.266413961794303,2.6003992436010064,3.485277169480634,2.07150320914747,0.2665553092956543,-0.017470836639404297,0.2137797797263072,0.061090171337127686,-15.257157673517291,0.42857142857142855,0.9074074074074074,3,3,6.333333333333333,1.0,1.0,0.0
innovation planning,7.4080930209595035,3.7394274395506857,1.7447594260044932,0.6295006653036097,1.9810768201052806,0.29852747917175293,-0.16122267246246338,0.1732281653499594,0.30172204971313477,-1.8516470085264063,0.17647058823529413,0.8518518518518519,2,2,9.0,1.0,1.0,0.0
stakeholders backlog refined,7.079333417925061,4.1654963414175405,1.4775478656617171,0.17325034070656997,1.6995173774455714,0.14918649196624756,0.012693214416503906,0.05939533261044102,0.07112288475036621,11.753247607026402,0.05263157894736842,0.0,3,3,8.666666666666666,1.0,0.6666666666666666,0.35
reduction opportunity enablement,10.947837687749661,1.0947837687749662,3.284351306324898,10.947837687749661,10.0,-0.013587713241577148,-0.44897385835647585,0.15044726183919985,0.4142228364944458,0.030263929600081056,0.05263157894736842,0.0,3,3,10.0,1.0,1.0,0.0
salary module,12.482423186599732,3.6215465329423444,4.890323030494668,2.334906326234222,3.4467107002649287,0.19341647624969482,-0.41226125955581666,0.31393621907229585,0.08212888240814209,-0.469159960501959,0.17647058823529413,0.8518518518518519,2,2,6.0,1.0,1.0,0.0
sprint planning participating,6.941750819201651,3.283442240532773,1.2781703999091525,3.4629394682062467,2.114168701830211,0.49719929695129395,0.29680601954460145,0.10089570615102715,0.07474625110626221,1.675165812722269,0.17647058823529413,0.7037037037037037,3,3,9.0,1.0,0.6666666666666666,0.4
meeting sprint goal,3.3143005359649504,3.070492458758118,0.1094985381147184,0.1278364970349748,1.0794035746648414,0.42348164319992065,0.2225261449813843,0.08970465346467471,0.06487840414047241,1.9030646634144834,0.17647058823529413,0.5925925925925926,3,3,5.666666666666667,0.6666666666666666,1.0,0.0
sprint delivers improved,8.269674704976314,1.9704056545259596,2.6656155738525267,4.489627474963132,4.19694020161845,0.21035444736480713,0.15286004543304443,0.035360655098688215,0.01090860366821289,1.3761244592652324,0.17647058823529413,0.8518518518518519,3,3,7.333333333333333,1.0,0.3333333333333333,0.1
definition agile scrum,4.874024572880418,3.9903204377958894,0.5469637607269481,0.1611500969495525,1.221461947445167,0.6526575088500977,0.29432504177093505,0.16338157384981966,0.21837341785430908,2.217471897474639,0.25,0.6666666666666667,3,3,6.666666666666667,1.0,1.0,0.0
delete remove restaurant,17.126209480511633,3.3715943438230007,4.997452022429444,12.084897318374917,5.079558136015995,0.1786394715309143,-0.4632341802120209,0.25426921090675997,0.5128536820411682,-0.3856353420405022,0.25,0.7222222222222222,3,3,7.333333333333333,1.0,1.0,0.0
